Date,Open,High,Low,Close,Adj Close,Volume
2024-11-25,"1,919.00","1,919.95","1,878.50","1,891.70","1,879.03","6,531,524"
2024-11-22,"1,846.35","1,902.00","1,836.50","1,898.40","1,885.69","2,765,950"
2024-11-21,"1,835.00","1,839.55","1,820.20","1,836.35","1,824.05","1,841,245"
2024-11-19,"1,837.00","1,865.00","1,817.30","1,820.55","1,808.36","2,354,204"
2024-11-18,"1,858.95","1,865.05","1,815.00","1,835.00","1,822.71","2,483,933"
2024-11-14,"1,872.00","1,897.00","1,846.35","1,858.95","1,846.50","2,462,563"
2024-11-13,"1,866.00","1,879.60","1,859.10","1,864.75","1,852.26","1,254,074"
2024-11-12,"1,891.00","1,892.95","1,864.45","1,872.85","1,860.31","2,711,052"
2024-11-11,"1,846.70","1,874.00","1,834.00","1,867.30","1,854.80","1,679,869"
2024-11-08,"1,838.95","1,854.15","1,828.05","1,837.50","1,825.20","1,521,324"
2024-11-07,"1,850.05","1,862.55","1,814.20","1,831.95","1,819.68","2,173,869"
2024-11-06,"1,791.10","1,853.00","1,783.00","1,838.40","1,826.09","3,477,029"
2024-11-05,"1,769.00","1,783.35","1,761.50","1,773.55","1,761.68","1,818,350"
2024-11-04,"1,763.00","1,782.10","1,745.00","1,762.95","1,751.15","2,843,690"
2024-11-01,"1,777.00","1,781.30","1,751.00","1,757.40","1,745.63","242,223"
2024-10-31,"1,840.00","1,843.90","1,756.55","1,766.05","1,754.23","3,616,088"
2024-10-30,"1,861.00","1,869.45","1,835.30","1,838.80","1,826.49","1,732,047"
2024-10-29,"1,871.75","1,875.90","1,851.20","1,871.75","1,859.22","1,719,955"
2024-10-28,"1,845.10","1,876.80","1,845.10","1,871.75","1,859.22","2,418,907"
2024-10-25,"1,860.00","1,871.55","1,840.20","1,852.35","1,839.95","4,078,295"
2024-10-24,"1,845.00","1,862.95","1,837.70","1,844.90","1,832.55","1,621,637"
2024-10-23,"1,793.50","1,865.00","1,793.50","1,845.75","1,833.39","2,522,186"
2024-10-22,12.00 Dividend,,,,,
2024-10-22,"1,829.80","1,852.00","1,819.50","1,822.75","1,810.55","2,089,660"
2024-10-21,"1,875.30","1,888.50","1,840.00","1,843.60","1,819.34","1,284,980"
2024-10-18,"1,867.00","1,873.90","1,843.00","1,857.70","1,833.25","2,366,406"
2024-10-17,"1,869.90","1,877.05","1,851.45","1,867.80","1,843.22","2,399,099"
2024-10-16,"1,869.00","1,885.00","1,854.05","1,865.25","1,840.70","2,144,442"
2024-10-15,"1,830.00","1,882.75","1,829.95","1,870.10","1,845.49","5,696,544"
2024-10-14,"1,846.05","1,865.50","1,832.40","1,855.90","1,831.47","1,751,092"
2024-10-11,"1,804.00","1,852.80","1,800.65","1,839.65","1,815.44","2,977,110"
2024-10-10,"1,820.00","1,839.95","1,797.00","1,808.65","1,784.85","3,753,869"
2024-10-09,"1,793.05","1,825.00","1,790.15","1,809.70","1,785.88","2,499,596"
2024-10-08,"1,774.00","1,794.00","1,743.00","1,789.45","1,765.90","2,353,030"
2024-10-07,"1,784.95","1,804.20","1,767.90","1,776.95","1,753.56","3,419,048"
2024-10-04,"1,778.00","1,807.90","1,767.25","1,776.60","1,753.22","2,982,759"
2024-10-03,"1,778.00","1,809.30","1,770.00","1,778.55","1,755.14","3,552,386"
2024-10-01,"1,790.00","1,822.45","1,790.00","1,816.50","1,792.59","1,642,542"
2024-09-30,"1,808.00","1,820.70","1,789.15","1,796.10","1,772.46","2,117,894"
2024-09-27,"1,810.00","1,828.55","1,796.55","1,808.40","1,784.60","4,099,016"
2024-09-26,"1,782.25","1,808.40","1,778.90","1,783.85","1,760.37","4,303,250"
2024-09-25,"1,778.80","1,784.05","1,755.00","1,782.40","1,758.94","2,240,579"
2024-09-24,"1,750.00","1,783.50","1,738.35","1,775.60","1,752.23","1,907,389"
2024-09-23,"1,764.00","1,764.00","1,732.50","1,752.80","1,729.73","1,541,597"
2024-09-20,"1,748.00","1,766.10","1,721.40","1,760.05","1,736.89","4,644,317"
2024-09-19,"1,776.00","1,776.00","1,721.50","1,736.50","1,713.65","4,167,373"
2024-09-18,"1,808.10","1,808.10","1,740.10","1,756.50","1,733.38","2,629,136"
2024-09-17,"1,811.95","1,828.00","1,807.20","1,813.75","1,789.88","830,317"
2024-09-16,"1,819.00","1,824.25","1,808.20","1,811.85","1,788.00","836,199"
2024-09-13,"1,805.00","1,820.00","1,795.65","1,812.80","1,788.94","1,599,349"
2024-09-12,"1,800.00","1,814.20","1,777.10","1,807.60","1,783.81","3,349,489"
2024-09-11,"1,778.20","1,796.85","1,773.70","1,778.75","1,755.34","2,303,930"
2024-09-10,"1,749.45","1,789.30","1,747.15","1,779.10","1,755.69","2,307,528"
2024-09-09,"1,758.35","1,766.30","1,741.15","1,746.75","1,723.76","1,418,238"
2024-09-06,"1,788.00","1,795.75","1,740.05","1,756.10","1,732.99","3,351,716"
2024-09-05,"1,792.00","1,797.70","1,767.30","1,790.55","1,766.98","2,878,565"
2024-09-04,"1,765.10","1,795.65","1,765.00","1,785.25","1,761.75","2,644,961"
2024-09-03,"1,806.00","1,817.15","1,787.05","1,790.45","1,766.89","2,553,290"
2024-09-02,"1,764.20","1,812.00","1,760.00","1,806.65","1,782.87","4,445,349"
2024-08-30,"1,751.85","1,766.30","1,742.20","1,753.25","1,730.18","4,792,561"
2024-08-29,"1,714.00","1,756.00","1,697.25","1,751.85","1,728.79","5,112,407"
2024-08-28,"1,712.55","1,737.75","1,693.05","1,719.45","1,696.82","2,516,461"
2024-08-27,"1,725.85","1,756.85","1,705.10","1,711.60","1,689.07","3,556,487"
2024-08-26,"1,671.00","1,734.00","1,667.10","1,719.45","1,696.82","2,672,708"
2024-08-23,"1,676.05","1,685.95","1,657.15","1,661.45","1,639.58","2,158,185"
2024-08-22,"1,687.00","1,687.00","1,673.00","1,676.15","1,654.09","1,749,127"
2024-08-21,"1,686.00","1,688.85","1,673.75","1,677.25","1,655.18","1,410,370"
2024-08-20,"1,680.00","1,695.05","1,669.20","1,686.75","1,664.55","2,786,109"
